driver,team,position,status,dnf_flag
PER,Red Bull Racing,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
ALO,Aston Martin,3.0,finished,0
RUS,Mercedes,4.0,finished,0
HAM,Mercedes,5.0,finished,0
SAI,Ferrari,6.0,finished,0
LEC,Ferrari,7.0,finished,0
OCO,Alpine,8.0,finished,0
GAS,Alpine,9.0,finished,0
MAG,Haas F1 Team,10.0,finished,0
TSU,AlphaTauri,11.0,finished,0
HUL,Haas F1 Team,12.0,finished,0
ZHO,Alfa Romeo,13.0,finished,0
DEV,AlphaTauri,14.0,finished,0
PIA,McLaren,15.0,finished,0
SAR,Williams,16.0,finished,0
NOR,McLaren,17.0,finished,0
BOT,Alfa Romeo,18.0,lapped,0
ALB,Williams,,retired,1
STR,Aston Martin,,retired,1
