driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:36.061000,0 days 00:01:35.004000,0 days 00:01:34.723000
NOR,4,McLaren,2.0,0 days 00:01:35.110000,0 days 00:01:35.441000,0 days 00:01:34.853000
HAM,44,Mercedes,3.0,0 days 00:01:35.091000,0 days 00:01:35.240000,0 days 00:01:34.862000
SAI,55,Ferrari,4.0,0 days 00:01:35.824000,0 days 00:01:35.302000,0 days 00:01:34.945000
RUS,63,Mercedes,5.0,0 days 00:01:36.165000,0 days 00:01:35.606000,0 days 00:01:35.079000
VER,1,Red Bull Racing,6.0,0 days 00:01:35.346000,0 days 00:01:35.008000,0 days 00:01:35.081000
GAS,10,Alpine,7.0,0 days 00:01:36.158000,0 days 00:01:35.496000,0 days 00:01:35.089000
OCO,31,Alpine,8.0,0 days 00:01:36.131000,0 days 00:01:35.413000,0 days 00:01:35.154000
PER,11,Red Bull Racing,9.0,0 days 00:01:35.989000,0 days 00:01:35.679000,0 days 00:01:35.173000
PIA,81,McLaren,10.0,0 days 00:01:36.064000,0 days 00:01:35.576000,0 days 00:01:35.467000
TSU,22,AlphaTauri,11.0,0 days 00:01:35.913000,0 days 00:01:35.697000,
ZHO,24,Alfa Romeo,12.0,0 days 00:01:36.052000,0 days 00:01:35.698000,
BOT,77,Alfa Romeo,13.0,0 days 00:01:36.082000,0 days 00:01:35.858000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:36.009000,0 days 00:01:35.880000,
RIC,3,AlphaTauri,15.0,0 days 00:01:36.213000,0 days 00:01:35.974000,
HUL,27,Haas F1 Team,16.0,0 days 00:01:36.235000,,
ALO,14,Aston Martin,17.0,0 days 00:01:36.268000,,
ALB,23,Williams,18.0,0 days 00:01:36.315000,,
STR,18,Aston Martin,19.0,0 days 00:01:36.589000,,
SAR,2,Williams,20.0,0 days 00:01:36.827000,,
