driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:28.171000,0 days 00:01:28.033000,0 days 00:01:27.472000
LEC,16,Ferrari,2.0,0 days 00:01:28.318000,0 days 00:01:28.112000,0 days 00:01:27.791000
PER,11,Red Bull Racing,3.0,0 days 00:01:28.638000,0 days 00:01:28.467000,0 days 00:01:27.807000
ALO,14,Aston Martin,4.0,0 days 00:01:28.706000,0 days 00:01:28.122000,0 days 00:01:27.846000
PIA,81,McLaren,5.0,0 days 00:01:28.755000,0 days 00:01:28.343000,0 days 00:01:28.089000
NOR,4,McLaren,6.0,0 days 00:01:28.805000,0 days 00:01:28.479000,0 days 00:01:28.132000
RUS,63,Mercedes,7.0,0 days 00:01:28.749000,0 days 00:01:28.448000,0 days 00:01:28.316000
HAM,44,Mercedes,8.0,0 days 00:01:28.994000,0 days 00:01:28.606000,0 days 00:01:28.460000
TSU,22,RB,9.0,0 days 00:01:28.988000,0 days 00:01:28.564000,0 days 00:01:28.547000
STR,18,Aston Martin,10.0,0 days 00:01:28.250000,0 days 00:01:28.578000,0 days 00:01:28.572000
BEA,38,Ferrari,11.0,0 days 00:01:28.984000,0 days 00:01:28.642000,
ALB,23,Williams,12.0,0 days 00:01:29.107000,0 days 00:01:28.980000,
MAG,20,Haas F1 Team,13.0,0 days 00:01:29.069000,0 days 00:01:29.020000,
RIC,3,RB,14.0,0 days 00:01:29.065000,0 days 00:01:29.025000,
HUL,27,Haas F1 Team,15.0,0 days 00:01:29.055000,,
BOT,77,Kick Sauber,16.0,0 days 00:01:29.179000,,
OCO,31,Alpine,17.0,0 days 00:01:29.475000,,
GAS,10,Alpine,18.0,0 days 00:01:29.479000,,
SAR,2,Williams,19.0,0 days 00:01:29.526000,,
ZHO,24,Kick Sauber,20.0,,,
