driver,team,position,status,dnf_flag
SAI,Ferrari,1.0,finished,0
LEC,Ferrari,2.0,finished,0
NOR,McLaren,3.0,finished,0
PIA,McLaren,4.0,finished,0
PER,Red Bull Racing,5.0,finished,0
STR,Aston Martin,6.0,finished,0
TSU,RB,7.0,finished,0
ALO,Aston Martin,8.0,finished,0
HUL,Haas F1 Team,9.0,finished,0
MAG,Haas F1 Team,10.0,lapped,0
ALB,Williams,11.0,lapped,0
RIC,RB,12.0,lapped,0
GAS,Alpine,13.0,lapped,0
BOT,Kick Sauber,14.0,lapped,0
ZHO,Kick Sauber,15.0,lapped,0
OCO,Alpine,16.0,lapped,0
RUS,Mercedes,,retired,1
HAM,Mercedes,,retired,1
VER,Red Bull Racing,,retired,1
