driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:23.682000,0 days 00:01:23.098000,0 days 00:01:22.595000
PIA,81,McLaren,2.0,0 days 00:01:23.640000,0 days 00:01:23.199000,0 days 00:01:22.804000
SAI,55,Ferrari,3.0,0 days 00:01:23.487000,0 days 00:01:22.985000,0 days 00:01:22.824000
HUL,27,Haas F1 Team,4.0,0 days 00:01:23.722000,0 days 00:01:23.040000,0 days 00:01:22.886000
VER,1,Red Bull Racing,5.0,0 days 00:01:23.516000,0 days 00:01:22.998000,0 days 00:01:22.945000
GAS,10,Alpine,6.0,0 days 00:01:23.548000,0 days 00:01:23.086000,0 days 00:01:22.984000
RUS,63,Mercedes,7.0,0 days 00:01:23.678000,0 days 00:01:23.283000,0 days 00:01:23.132000
ALO,14,Aston Martin,8.0,0 days 00:01:23.794000,0 days 00:01:23.268000,0 days 00:01:23.196000
BOT,77,Kick Sauber,9.0,0 days 00:01:23.481000,0 days 00:01:23.341000,0 days 00:01:23.204000
PER,11,Red Bull Racing,10.0,0 days 00:01:23.559000,0 days 00:01:23.379000,0 days 00:01:23.264000
TSU,22,RB,11.0,0 days 00:01:23.735000,0 days 00:01:23.419000,
LAW,30,RB,12.0,0 days 00:01:23.733000,0 days 00:01:23.472000,
STR,18,Aston Martin,13.0,0 days 00:01:23.729000,0 days 00:01:23.784000,
LEC,16,Ferrari,14.0,0 days 00:01:23.302000,0 days 00:01:23.833000,
MAG,20,Haas F1 Team,15.0,0 days 00:01:23.632000,0 days 00:01:23.877000,
ALB,23,Williams,16.0,0 days 00:01:23.821000,,
ZHO,24,Kick Sauber,17.0,0 days 00:01:23.880000,,
HAM,44,Mercedes,18.0,0 days 00:01:23.887000,,
COL,43,Williams,19.0,0 days 00:01:23.912000,,
DOO,61,Alpine,20.0,0 days 00:01:24.105000,,
