driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
OCO,Alpine,2.0,finished,0
GAS,Alpine,3.0,finished,0
RUS,Mercedes,4.0,finished,0
LEC,Ferrari,5.0,finished,0
NOR,McLaren,6.0,finished,0
TSU,RB,7.0,finished,0
PIA,McLaren,8.0,finished,0
LAW,RB,9.0,finished,0
HAM,Mercedes,10.0,finished,0
PER,Red Bull Racing,11.0,finished,0
BEA,Haas F1 Team,12.0,finished,0
BOT,Kick Sauber,13.0,finished,0
ALO,Aston Martin,14.0,finished,0
ZHO,Kick Sauber,15.0,finished,0
SAI,Ferrari,,retired,1
COL,Williams,,retired,1
ALB,Williams,,did not start,1
STR,Aston Martin,,did not start,1
HUL,Haas F1 Team,,disqualified,1
