driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:33.617000,0 days 00:01:32.775000,0 days 00:01:32.726000
SAI,55,Ferrari,2.0,0 days 00:01:33.851000,0 days 00:01:33.338000,0 days 00:01:32.770000
VER,1,Red Bull Racing,3.0,0 days 00:01:34.190000,0 days 00:01:33.572000,0 days 00:01:33.104000
RUS,63,Mercedes,4.0,0 days 00:01:34.137000,0 days 00:01:33.351000,0 days 00:01:33.112000
GAS,10,Alpine,5.0,0 days 00:01:34.272000,0 days 00:01:33.494000,0 days 00:01:33.239000
ALB,23,Williams,6.0,0 days 00:01:34.634000,0 days 00:01:33.588000,0 days 00:01:33.323000
SAR,2,Williams,7.0,0 days 00:01:34.525000,0 days 00:01:33.733000,0 days 00:01:33.513000
BOT,77,Alfa Romeo,8.0,0 days 00:01:34.305000,0 days 00:01:33.809000,0 days 00:01:33.525000
MAG,20,Haas F1 Team,9.0,0 days 00:01:34.337000,0 days 00:01:33.664000,0 days 00:01:33.537000
ALO,14,Aston Martin,10.0,0 days 00:01:34.422000,0 days 00:01:33.617000,0 days 00:01:33.555000
HAM,44,Mercedes,11.0,0 days 00:01:34.307000,0 days 00:01:33.837000,
PER,11,Red Bull Racing,12.0,0 days 00:01:34.574000,0 days 00:01:33.855000,
HUL,27,Haas F1 Team,13.0,0 days 00:01:34.265000,0 days 00:01:33.979000,
STR,18,Aston Martin,14.0,0 days 00:01:34.504000,0 days 00:01:34.199000,
RIC,3,AlphaTauri,15.0,0 days 00:01:34.683000,0 days 00:01:34.308000,
NOR,4,McLaren,16.0,0 days 00:01:34.703000,,
OCO,31,Alpine,17.0,0 days 00:01:34.834000,,
ZHO,24,Alfa Romeo,18.0,0 days 00:01:34.849000,,
PIA,81,McLaren,19.0,0 days 00:01:34.850000,,
TSU,22,AlphaTauri,20.0,0 days 00:01:36.447000,,
