driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:19.507000,0 days 00:01:18.934000,0 days 00:01:18.518000
ANT,12,Mercedes,2.0,0 days 00:01:20.120000,0 days 00:01:19.435000,0 days 00:01:18.811000
HAD,6,Red Bull Racing,3.0,0 days 00:01:20.023000,0 days 00:01:19.653000,0 days 00:01:19.303000
LEC,16,Ferrari,4.0,0 days 00:01:20.226000,0 days 00:01:19.357000,0 days 00:01:19.327000
PIA,81,McLaren,5.0,0 days 00:01:19.664000,0 days 00:01:19.525000,0 days 00:01:19.380000
NOR,1,McLaren,6.0,0 days 00:01:20.010000,0 days 00:01:19.882000,0 days 00:01:19.475000
HAM,44,Ferrari,7.0,0 days 00:01:19.811000,0 days 00:01:19.921000,0 days 00:01:19.478000
LAW,30,Racing Bulls,8.0,0 days 00:01:20.491000,0 days 00:01:20.144000,0 days 00:01:19.994000
LIN,41,Racing Bulls,9.0,0 days 00:01:20.409000,0 days 00:01:19.971000,0 days 00:01:21.247000
BOR,5,Audi,10.0,0 days 00:01:20.495000,0 days 00:01:20.221000,
HUL,27,Audi,11.0,0 days 00:01:21.024000,0 days 00:01:20.303000,
BEA,87,Haas F1 Team,12.0,0 days 00:01:21.247000,0 days 00:01:20.311000,
OCO,31,Haas F1 Team,13.0,0 days 00:01:20.759000,0 days 00:01:20.491000,
GAS,10,Alpine,14.0,0 days 00:01:21.138000,0 days 00:01:20.501000,
ALB,23,Williams,15.0,0 days 00:01:21.051000,0 days 00:01:20.941000,
COL,43,Alpine,16.0,0 days 00:01:21.200000,0 days 00:01:21.270000,
ALO,14,Aston Martin,17.0,0 days 00:01:21.969000,,
PER,11,Cadillac,18.0,0 days 00:01:22.605000,,
BOT,77,Cadillac,19.0,0 days 00:01:23.244000,,
STR,18,Aston Martin,,,,
VER,3,Red Bull Racing,,,,
SAI,55,Williams,,,,
