driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:05.336000,0 days 00:01:04.469000,0 days 00:01:04.314000
NOR,4,McLaren,2.0,0 days 00:01:05.450000,0 days 00:01:05.103000,0 days 00:01:04.718000
RUS,63,Mercedes,3.0,0 days 00:01:05.585000,0 days 00:01:05.016000,0 days 00:01:04.840000
SAI,55,Ferrari,4.0,0 days 00:01:05.263000,0 days 00:01:05.016000,0 days 00:01:04.851000
HAM,44,Mercedes,5.0,0 days 00:01:05.541000,0 days 00:01:05.053000,0 days 00:01:04.903000
LEC,16,Ferrari,6.0,0 days 00:01:05.509000,0 days 00:01:05.104000,0 days 00:01:05.044000
PIA,81,McLaren,7.0,0 days 00:01:05.311000,0 days 00:01:05.070000,0 days 00:01:05.048000
PER,11,Red Bull Racing,8.0,0 days 00:01:05.587000,0 days 00:01:05.144000,0 days 00:01:05.202000
HUL,27,Haas F1 Team,9.0,0 days 00:01:05.596000,0 days 00:01:05.262000,0 days 00:01:05.385000
OCO,31,Alpine,10.0,0 days 00:01:05.574000,0 days 00:01:05.274000,0 days 00:01:05.883000
RIC,3,RB,11.0,0 days 00:01:05.569000,0 days 00:01:05.289000,
MAG,20,Haas F1 Team,12.0,0 days 00:01:05.508000,0 days 00:01:05.347000,
GAS,10,Alpine,13.0,0 days 00:01:05.598000,0 days 00:01:05.359000,
TSU,22,RB,14.0,0 days 00:01:05.563000,0 days 00:01:05.412000,
ALO,14,Aston Martin,15.0,0 days 00:01:05.656000,0 days 00:01:05.639000,
ALB,23,Williams,16.0,0 days 00:01:05.736000,,
STR,18,Aston Martin,17.0,0 days 00:01:05.819000,,
BOT,77,Kick Sauber,18.0,0 days 00:01:05.847000,,
SAR,2,Williams,19.0,0 days 00:01:05.856000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:06.061000,,
