driver,team,position,status,dnf_flag
PIA,McLaren,1.0,finished,0
LEC,Ferrari,2.0,finished,0
RUS,Mercedes,3.0,finished,0
NOR,McLaren,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
ALO,Aston Martin,6.0,finished,0
ALB,Williams,7.0,finished,0
COL,Williams,8.0,finished,0
HAM,Mercedes,9.0,finished,0
BEA,Haas F1 Team,10.0,finished,0
HUL,Haas F1 Team,11.0,finished,0
GAS,Alpine,12.0,finished,0
RIC,RB,13.0,finished,0
ZHO,Kick Sauber,14.0,finished,0
OCO,Alpine,15.0,lapped,0
BOT,Kick Sauber,16.0,lapped,0
PER,Red Bull Racing,,retired,1
SAI,Ferrari,,retired,1
STR,Aston Martin,,retired,1
TSU,RB,,retired,1
