driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:28.866000,0 days 00:01:28.740000,0 days 00:01:28.197000
PER,11,Red Bull Racing,2.0,0 days 00:01:29.303000,0 days 00:01:28.752000,0 days 00:01:28.263000
NOR,4,McLaren,3.0,0 days 00:01:29.536000,0 days 00:01:28.940000,0 days 00:01:28.489000
SAI,55,Ferrari,4.0,0 days 00:01:29.513000,0 days 00:01:29.099000,0 days 00:01:28.682000
ALO,14,Aston Martin,5.0,0 days 00:01:29.254000,0 days 00:01:29.082000,0 days 00:01:28.686000
PIA,81,McLaren,6.0,0 days 00:01:29.425000,0 days 00:01:29.148000,0 days 00:01:28.760000
HAM,44,Mercedes,7.0,0 days 00:01:29.661000,0 days 00:01:28.887000,0 days 00:01:28.766000
LEC,16,Ferrari,8.0,0 days 00:01:29.338000,0 days 00:01:29.196000,0 days 00:01:28.786000
RUS,63,Mercedes,9.0,0 days 00:01:29.799000,0 days 00:01:29.140000,0 days 00:01:29.008000
TSU,22,RB,10.0,0 days 00:01:29.775000,0 days 00:01:29.417000,0 days 00:01:29.413000
RIC,3,RB,11.0,0 days 00:01:29.727000,0 days 00:01:29.472000,
HUL,27,Haas F1 Team,12.0,0 days 00:01:29.821000,0 days 00:01:29.494000,
BOT,77,Kick Sauber,13.0,0 days 00:01:29.602000,0 days 00:01:29.593000,
ALB,23,Williams,14.0,0 days 00:01:29.963000,0 days 00:01:29.714000,
OCO,31,Alpine,15.0,0 days 00:01:29.811000,0 days 00:01:29.816000,
STR,18,Aston Martin,16.0,0 days 00:01:30.024000,,
GAS,10,Alpine,17.0,0 days 00:01:30.119000,,
MAG,20,Haas F1 Team,18.0,0 days 00:01:30.131000,,
SAR,2,Williams,19.0,0 days 00:01:30.139000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:30.143000,,
