driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:13.953000,0 days 00:01:13.079000,0 days 00:01:12.578000
ANT,12,Mercedes,2.0,0 days 00:01:13.380000,0 days 00:01:13.076000,0 days 00:01:12.646000
NOR,1,McLaren,3.0,0 days 00:01:13.503000,0 days 00:01:13.049000,0 days 00:01:12.729000
PIA,81,McLaren,4.0,0 days 00:01:13.559000,0 days 00:01:13.285000,0 days 00:01:12.781000
HAM,44,Ferrari,5.0,0 days 00:01:13.767000,0 days 00:01:13.041000,0 days 00:01:12.868000
VER,3,Red Bull Racing,6.0,0 days 00:01:14.067000,0 days 00:01:13.479000,0 days 00:01:12.907000
HAD,6,Red Bull Racing,7.0,0 days 00:01:13.654000,0 days 00:01:12.975000,0 days 00:01:12.935000
LEC,16,Ferrari,8.0,0 days 00:01:13.825000,0 days 00:01:13.496000,0 days 00:01:12.976000
LIN,41,Racing Bulls,9.0,0 days 00:01:13.895000,0 days 00:01:13.548000,0 days 00:01:13.280000
COL,43,Alpine,10.0,0 days 00:01:14.466000,0 days 00:01:13.857000,0 days 00:01:13.697000
HUL,27,Audi,11.0,0 days 00:01:14.562000,0 days 00:01:13.886000,
LAW,30,Racing Bulls,12.0,0 days 00:01:14.346000,0 days 00:01:13.897000,
BOR,5,Audi,13.0,0 days 00:01:14.775000,0 days 00:01:14.071000,
GAS,10,Alpine,14.0,0 days 00:01:14.698000,0 days 00:01:14.187000,
SAI,55,Williams,15.0,0 days 00:01:14.276000,0 days 00:01:14.273000,
BEA,87,Haas F1 Team,16.0,0 days 00:01:14.449000,0 days 00:01:14.416000,
OCO,31,Haas F1 Team,17.0,0 days 00:01:14.845000,,
ALB,23,Williams,18.0,0 days 00:01:14.851000,,
ALO,14,Aston Martin,19.0,0 days 00:01:15.196000,,
PER,11,Cadillac,20.0,0 days 00:01:15.429000,,
STR,18,Aston Martin,21.0,0 days 00:01:16.195000,,
BOT,77,Cadillac,22.0,0 days 00:01:16.272000,,
