driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
PIA,McLaren,4.0,finished,0
ALO,Aston Martin,5.0,finished,0
RUS,Mercedes,6.0,finished,0
BEA,Ferrari,7.0,finished,0
NOR,McLaren,8.0,finished,0
HAM,Mercedes,9.0,finished,0
HUL,Haas F1 Team,10.0,finished,0
ALB,Williams,11.0,finished,0
MAG,Haas F1 Team,12.0,finished,0
OCO,Alpine,13.0,lapped,0
SAR,Williams,14.0,lapped,0
TSU,RB,15.0,lapped,0
RIC,RB,16.0,lapped,0
BOT,Kick Sauber,17.0,lapped,0
ZHO,Kick Sauber,18.0,lapped,0
STR,Aston Martin,,retired,1
GAS,Alpine,,retired,1
