driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:41.331000,0 days 00:01:41.255000,0 days 00:01:41.117000
SAI,55,Williams,2.0,0 days 00:01:42.635000,0 days 00:01:41.675000,0 days 00:01:41.595000
LAW,30,Racing Bulls,3.0,0 days 00:01:42.257000,0 days 00:01:41.537000,0 days 00:01:41.707000
ANT,12,Mercedes,4.0,0 days 00:01:42.247000,0 days 00:01:41.464000,0 days 00:01:41.717000
RUS,63,Mercedes,5.0,0 days 00:01:41.646000,0 days 00:01:41.455000,0 days 00:01:42.070000
TSU,22,Red Bull Racing,6.0,0 days 00:01:42.347000,0 days 00:01:41.788000,0 days 00:01:42.143000
NOR,4,McLaren,7.0,0 days 00:01:41.322000,0 days 00:01:41.396000,0 days 00:01:42.239000
HAD,6,Racing Bulls,8.0,0 days 00:01:41.656000,0 days 00:01:41.647000,0 days 00:01:42.372000
PIA,81,McLaren,9.0,0 days 00:01:41.839000,0 days 00:01:41.414000,
LEC,16,Ferrari,10.0,0 days 00:01:41.458000,0 days 00:01:41.519000,
ALO,14,Aston Martin,11.0,0 days 00:01:42.211000,0 days 00:01:41.857000,
HAM,44,Ferrari,12.0,0 days 00:01:41.821000,0 days 00:01:42.183000,
BOR,5,Kick Sauber,13.0,0 days 00:01:42.511000,0 days 00:01:42.277000,
STR,18,Aston Martin,14.0,0 days 00:01:42.101000,0 days 00:01:43.061000,
BEA,87,Haas F1 Team,15.0,0 days 00:01:42.666000,,
COL,43,Alpine,16.0,0 days 00:01:42.779000,,
HUL,27,Kick Sauber,17.0,0 days 00:01:42.916000,,
GAS,10,Alpine,18.0,0 days 00:01:43.139000,,
ALB,23,Williams,19.0,0 days 00:01:43.778000,,
OCO,31,Haas F1 Team,20.0,,,
