driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:19.455000,0 days 00:01:19.140000,0 days 00:01:18.792000
NOR,4,McLaren,2.0,0 days 00:01:19.517000,0 days 00:01:19.293000,0 days 00:01:18.869000
PIA,81,McLaren,3.0,0 days 00:01:19.711000,0 days 00:01:19.286000,0 days 00:01:18.982000
LEC,16,Ferrari,4.0,0 days 00:01:19.689000,0 days 00:01:19.310000,0 days 00:01:19.007000
HAM,44,Ferrari,5.0,0 days 00:01:19.765000,0 days 00:01:19.371000,0 days 00:01:19.124000
RUS,63,Mercedes,6.0,0 days 00:01:19.414000,0 days 00:01:19.287000,0 days 00:01:19.157000
ANT,12,Mercedes,7.0,0 days 00:01:19.747000,0 days 00:01:19.245000,0 days 00:01:19.200000
BOR,5,Kick Sauber,8.0,0 days 00:01:19.688000,0 days 00:01:19.323000,0 days 00:01:19.390000
ALO,14,Aston Martin,9.0,0 days 00:01:19.658000,0 days 00:01:19.362000,0 days 00:01:19.424000
TSU,22,Red Bull Racing,10.0,0 days 00:01:19.619000,0 days 00:01:19.433000,0 days 00:01:19.519000
BEA,87,Haas F1 Team,11.0,0 days 00:01:19.688000,0 days 00:01:19.446000,
HUL,27,Kick Sauber,12.0,0 days 00:01:19.777000,0 days 00:01:19.498000,
SAI,55,Williams,13.0,0 days 00:01:19.644000,0 days 00:01:19.528000,
ALB,23,Williams,14.0,0 days 00:01:19.837000,0 days 00:01:19.583000,
OCO,31,Haas F1 Team,15.0,0 days 00:01:19.816000,0 days 00:01:19.707000,
HAD,6,Racing Bulls,16.0,0 days 00:01:19.917000,,
STR,18,Aston Martin,17.0,0 days 00:01:19.948000,,
COL,43,Alpine,18.0,0 days 00:01:19.992000,,
GAS,10,Alpine,19.0,0 days 00:01:20.103000,,
LAW,30,Racing Bulls,20.0,0 days 00:01:20.279000,,
