driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
ALO,Aston Martin,2.0,finished,0
OCO,Alpine,3.0,finished,0
HAM,Mercedes,4.0,finished,0
RUS,Mercedes,5.0,finished,0
LEC,Ferrari,6.0,finished,0
GAS,Alpine,7.0,finished,0
SAI,Ferrari,8.0,finished,0
NOR,McLaren,9.0,lapped,0
PIA,McLaren,10.0,lapped,0
BOT,Alfa Romeo,11.0,lapped,0
DEV,AlphaTauri,12.0,lapped,0
ZHO,Alfa Romeo,13.0,lapped,0
ALB,Williams,14.0,lapped,0
TSU,AlphaTauri,15.0,lapped,0
PER,Red Bull Racing,16.0,lapped,0
HUL,Haas F1 Team,17.0,lapped,0
SAR,Williams,18.0,lapped,0
MAG,Haas F1 Team,,retired,1
STR,Aston Martin,,retired,1
