driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
HAM,Mercedes,2.0,finished,0
RUS,Mercedes,3.0,finished,0
PER,Red Bull Racing,4.0,finished,0
SAI,Ferrari,5.0,finished,0
STR,Aston Martin,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
OCO,Alpine,8.0,finished,0
ZHO,Alfa Romeo,9.0,finished,0
GAS,Alpine,10.0,finished,0
LEC,Ferrari,11.0,finished,0
TSU,AlphaTauri,12.0,finished,0
PIA,McLaren,13.0,lapped,0
DEV,AlphaTauri,14.0,lapped,0
HUL,Haas F1 Team,15.0,lapped,0
ALB,Williams,16.0,lapped,0
NOR,McLaren,17.0,lapped,0
MAG,Haas F1 Team,18.0,lapped,0
BOT,Alfa Romeo,19.0,lapped,0
SAR,Williams,20.0,lapped,0
