driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
LEC,Ferrari,3.0,finished,0
HAM,Ferrari,4.0,finished,0
PIA,McLaren,5.0,finished,0
RUS,Mercedes,6.0,finished,0
TSU,Red Bull Racing,7.0,finished,0
HUL,Kick Sauber,8.0,finished,0
BEA,Haas F1 Team,9.0,finished,0
ALO,Aston Martin,10.0,finished,0
LAW,Racing Bulls,11.0,finished,0
STR,Aston Martin,12.0,finished,0
ANT,Mercedes,13.0,finished,0
ALB,Williams,14.0,finished,0
OCO,Haas F1 Team,15.0,finished,0
HAD,Racing Bulls,16.0,finished,0
COL,Alpine,17.0,lapped,0
BOR,Kick Sauber,18.0,lapped,0
GAS,Alpine,19.0,lapped,0
SAI,Williams,,retired,1
