driver,team,position,status,grid_position,points,dnf_flag
VER,Red Bull Racing,1.0,finished,1.0,25.0,0
NOR,McLaren,2.0,finished,6.0,19.0,0
ALO,Aston Martin,3.0,finished,4.0,15.0,0
PER,Red Bull Racing,4.0,finished,9.0,12.0,0
STR,Aston Martin,5.0,finished,3.0,10.0,0
SAI,Ferrari,6.0,finished,7.0,8.0,0
GAS,Alpine,7.0,finished,15.0,6.0,0
HAM,Mercedes,8.0,finished,5.0,4.0,0
TSU,AlphaTauri,9.0,finished,16.0,2.0,0
OCO,Alpine,10.0,lapped,14.0,1.0,0
SAR,Williams,11.0,lapped,19.0,0.0,0
HUL,Haas F1 Team,12.0,lapped,11.0,0.0,0
RIC,AlphaTauri,13.0,lapped,17.0,0.0,0
PIA,McLaren,14.0,lapped,10.0,0.0,0
RUS,Mercedes,,retired,8.0,0.0,1
BOT,Alfa Romeo,,retired,18.0,0.0,1
ZHO,Alfa Romeo,,retired,20.0,0.0,1
MAG,Haas F1 Team,,retired,12.0,0.0,1
ALB,Williams,,retired,13.0,0.0,1
LEC,Ferrari,,did not start,2.0,0.0,1
