driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:27.689000,0 days 00:01:27.566000,0 days 00:01:27.241000
LEC,16,Ferrari,2.0,0 days 00:01:28.081000,0 days 00:01:27.533000,0 days 00:01:27.382000
SAI,55,Ferrari,3.0,0 days 00:01:27.937000,0 days 00:01:27.941000,0 days 00:01:27.455000
PER,11,Red Bull Racing,4.0,0 days 00:01:27.772000,0 days 00:01:27.839000,0 days 00:01:27.460000
NOR,4,McLaren,5.0,0 days 00:01:27.913000,0 days 00:01:27.871000,0 days 00:01:27.594000
PIA,81,McLaren,6.0,0 days 00:01:28.032000,0 days 00:01:27.721000,0 days 00:01:27.675000
RUS,63,Mercedes,7.0,0 days 00:01:28.159000,0 days 00:01:28.095000,0 days 00:01:28.067000
HAM,44,Mercedes,8.0,0 days 00:01:28.167000,0 days 00:01:27.697000,0 days 00:01:28.107000
HUL,27,Haas F1 Team,9.0,0 days 00:01:28.383000,0 days 00:01:28.200000,0 days 00:01:28.146000
TSU,22,RB,10.0,0 days 00:01:28.324000,0 days 00:01:28.167000,0 days 00:01:28.192000
STR,18,Aston Martin,11.0,0 days 00:01:28.177000,0 days 00:01:28.222000,
GAS,10,Alpine,12.0,0 days 00:01:27.976000,0 days 00:01:28.324000,
OCO,31,Alpine,13.0,0 days 00:01:28.209000,0 days 00:01:28.371000,
ALB,23,Williams,14.0,0 days 00:01:28.343000,0 days 00:01:28.413000,
ALO,14,Aston Martin,15.0,0 days 00:01:28.453000,0 days 00:01:28.427000,
BOT,77,Kick Sauber,16.0,0 days 00:01:28.463000,,
SAR,2,Williams,17.0,0 days 00:01:28.487000,,
RIC,3,RB,18.0,0 days 00:01:28.617000,,
MAG,20,Haas F1 Team,19.0,0 days 00:01:28.619000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:28.824000,,
