driver,driver_number,team,position,q1,q2,q3
PIA,81,McLaren,1.0,0 days 00:01:09.338000,0 days 00:01:08.964000,0 days 00:01:08.662000
NOR,4,McLaren,2.0,0 days 00:01:09.469000,0 days 00:01:08.874000,0 days 00:01:08.674000
VER,1,Red Bull Racing,3.0,0 days 00:01:09.696000,0 days 00:01:09.122000,0 days 00:01:08.925000
HAD,6,Racing Bulls,4.0,0 days 00:01:09.966000,0 days 00:01:09.439000,0 days 00:01:09.208000
RUS,63,Mercedes,5.0,0 days 00:01:09.676000,0 days 00:01:09.313000,0 days 00:01:09.255000
LEC,16,Ferrari,6.0,0 days 00:01:09.906000,0 days 00:01:09.304000,0 days 00:01:09.340000
HAM,44,Ferrari,7.0,0 days 00:01:09.900000,0 days 00:01:09.261000,0 days 00:01:09.390000
LAW,30,Racing Bulls,8.0,0 days 00:01:09.779000,0 days 00:01:09.383000,0 days 00:01:09.500000
SAI,55,Williams,9.0,0 days 00:01:09.980000,0 days 00:01:09.472000,0 days 00:01:09.505000
ALO,14,Aston Martin,10.0,0 days 00:01:09.950000,0 days 00:01:09.366000,0 days 00:01:09.630000
ANT,12,Mercedes,11.0,0 days 00:01:09.845000,0 days 00:01:09.493000,
TSU,22,Red Bull Racing,12.0,0 days 00:01:09.954000,0 days 00:01:09.622000,
BOR,5,Kick Sauber,13.0,0 days 00:01:10.037000,0 days 00:01:09.622000,
GAS,10,Alpine,14.0,0 days 00:01:09.894000,0 days 00:01:09.637000,
ALB,23,Williams,15.0,0 days 00:01:09.792000,0 days 00:01:09.652000,
COL,43,Alpine,16.0,0 days 00:01:10.104000,,
HUL,27,Kick Sauber,17.0,0 days 00:01:10.195000,,
OCO,31,Haas F1 Team,18.0,0 days 00:01:10.197000,,
BEA,87,Haas F1 Team,19.0,0 days 00:01:10.262000,,
STR,18,Aston Martin,20.0,,,
