driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:17.755000,0 days 00:01:15.540000,0 days 00:01:15.227000
PIA,81,McLaren,2.0,0 days 00:01:17.504000,0 days 00:01:15.785000,0 days 00:01:15.249000
VER,1,Red Bull Racing,3.0,0 days 00:01:17.087000,0 days 00:01:15.770000,0 days 00:01:15.273000
SAI,55,Ferrari,4.0,0 days 00:01:17.244000,0 days 00:01:15.885000,0 days 00:01:15.696000
HAM,44,Mercedes,5.0,0 days 00:01:17.087000,0 days 00:01:16.307000,0 days 00:01:15.854000
LEC,16,Ferrari,6.0,0 days 00:01:17.437000,0 days 00:01:15.891000,0 days 00:01:15.905000
ALO,14,Aston Martin,7.0,0 days 00:01:17.624000,0 days 00:01:16.117000,0 days 00:01:16.043000
STR,18,Aston Martin,8.0,0 days 00:01:17.405000,0 days 00:01:16.075000,0 days 00:01:16.244000
RIC,3,RB,9.0,0 days 00:01:17.050000,0 days 00:01:16.202000,0 days 00:01:16.447000
TSU,22,RB,10.0,0 days 00:01:17.436000,0 days 00:01:16.121000,0 days 00:01:16.477000
HUL,27,Haas F1 Team,11.0,0 days 00:01:17.362000,0 days 00:01:16.317000,
BOT,77,Kick Sauber,12.0,0 days 00:01:17.487000,0 days 00:01:16.384000,
ALB,23,Williams,13.0,0 days 00:01:17.280000,0 days 00:01:16.429000,
SAR,2,Williams,14.0,0 days 00:01:17.770000,0 days 00:01:16.543000,
MAG,20,Haas F1 Team,15.0,0 days 00:01:17.851000,0 days 00:01:16.548000,
PER,11,Red Bull Racing,16.0,0 days 00:01:17.886000,,
RUS,63,Mercedes,17.0,0 days 00:01:17.968000,,
ZHO,24,Kick Sauber,18.0,0 days 00:01:18.037000,,
OCO,31,Alpine,19.0,0 days 00:01:18.049000,,
GAS,10,Alpine,20.0,0 days 00:01:18.166000,,
