driver,team,position,status,dnf_flag
PIA,McLaren,1.0,finished,0
NOR,McLaren,2.0,finished,0
HAM,Mercedes,3.0,finished,0
LEC,Ferrari,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
SAI,Ferrari,6.0,finished,0
PER,Red Bull Racing,7.0,finished,0
RUS,Mercedes,8.0,finished,0
TSU,RB,9.0,finished,0
STR,Aston Martin,10.0,finished,0
ALO,Aston Martin,11.0,finished,0
RIC,RB,12.0,lapped,0
HUL,Haas F1 Team,13.0,lapped,0
ALB,Williams,14.0,lapped,0
MAG,Haas F1 Team,15.0,lapped,0
BOT,Kick Sauber,16.0,lapped,0
SAR,Williams,17.0,lapped,0
OCO,Alpine,18.0,lapped,0
ZHO,Kick Sauber,19.0,lapped,0
GAS,Alpine,,retired,1
