driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
RUS,Mercedes,3.0,finished,0
ANT,Mercedes,4.0,finished,0
ALB,Williams,5.0,finished,0
STR,Aston Martin,6.0,finished,0
HUL,Kick Sauber,7.0,finished,0
LEC,Ferrari,8.0,finished,0
PIA,McLaren,9.0,finished,0
HAM,Ferrari,10.0,finished,0
GAS,Alpine,11.0,finished,0
TSU,Racing Bulls,12.0,finished,0
OCO,Haas F1 Team,13.0,finished,0
BEA,Haas F1 Team,14.0,finished,0
LAW,Red Bull Racing,,retired,1
BOR,Kick Sauber,,retired,1
ALO,Aston Martin,,retired,1
SAI,Williams,,retired,1
DOO,Alpine,,retired,1
HAD,Racing Bulls,,retired,1
