driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
LEC,Ferrari,2.0,finished,0
PIA,McLaren,3.0,finished,0
VER,Red Bull Racing,4.0,finished,0
HAM,Ferrari,5.0,finished,0
HAD,Racing Bulls,6.0,lapped,0
OCO,Haas F1 Team,7.0,lapped,0
LAW,Racing Bulls,8.0,lapped,0
ALB,Williams,9.0,lapped,0
SAI,Williams,10.0,lapped,0
RUS,Mercedes,11.0,lapped,0
BEA,Haas F1 Team,12.0,lapped,0
COL,Alpine,13.0,lapped,0
BOR,Kick Sauber,14.0,lapped,0
STR,Aston Martin,15.0,lapped,0
HUL,Kick Sauber,16.0,lapped,0
TSU,Red Bull Racing,17.0,lapped,0
ANT,Mercedes,18.0,lapped,0
ALO,Aston Martin,,retired,1
GAS,Alpine,,retired,1
