driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:30.106000,0 days 00:01:26.723000,0 days 00:01:25.819000
HAM,44,Mercedes,2.0,0 days 00:01:29.547000,0 days 00:01:26.770000,0 days 00:01:25.990000
NOR,4,McLaren,3.0,0 days 00:01:31.596000,0 days 00:01:26.559000,0 days 00:01:26.030000
VER,1,Red Bull Racing,4.0,0 days 00:01:31.342000,0 days 00:01:26.796000,0 days 00:01:26.203000
PIA,81,McLaren,5.0,0 days 00:01:30.895000,0 days 00:01:26.733000,0 days 00:01:26.237000
HUL,27,Haas F1 Team,6.0,0 days 00:01:31.929000,0 days 00:01:26.847000,0 days 00:01:26.338000
SAI,55,Ferrari,7.0,0 days 00:01:30.557000,0 days 00:01:26.843000,0 days 00:01:26.509000
STR,18,Aston Martin,8.0,0 days 00:01:31.410000,0 days 00:01:26.938000,0 days 00:01:26.585000
ALB,23,Williams,9.0,0 days 00:01:31.135000,0 days 00:01:26.933000,0 days 00:01:26.640000
ALO,14,Aston Martin,10.0,0 days 00:01:31.264000,0 days 00:01:26.730000,0 days 00:01:26.917000
LEC,16,Ferrari,11.0,0 days 00:01:30.496000,0 days 00:01:27.097000,
SAR,2,Williams,12.0,0 days 00:01:31.608000,0 days 00:01:27.175000,
TSU,22,RB,13.0,0 days 00:01:30.994000,0 days 00:01:27.269000,
ZHO,24,Kick Sauber,14.0,0 days 00:01:31.190000,0 days 00:01:27.867000,
RIC,3,RB,15.0,0 days 00:01:31.291000,0 days 00:01:27.949000,
BOT,77,Kick Sauber,16.0,0 days 00:01:32.431000,,
MAG,20,Haas F1 Team,17.0,0 days 00:01:32.905000,,
OCO,31,Alpine,18.0,0 days 00:01:34.557000,,
PER,11,Red Bull Racing,19.0,0 days 00:01:38.348000,,
GAS,10,Alpine,20.0,0 days 00:01:39.804000,,
