driver,driver_number,team,position,q1,q2,q3
PIA,81,McLaren,1.0,0 days 00:01:31.392000,0 days 00:01:30.454000,0 days 00:01:29.841000
RUS,63,Mercedes,2.0,0 days 00:01:31.494000,0 days 00:01:30.664000,0 days 00:01:30.009000
LEC,16,Ferrari,3.0,0 days 00:01:31.454000,0 days 00:01:30.724000,0 days 00:01:30.175000
ANT,12,Mercedes,4.0,0 days 00:01:31.415000,0 days 00:01:30.716000,0 days 00:01:30.213000
GAS,10,Alpine,5.0,0 days 00:01:31.462000,0 days 00:01:30.643000,0 days 00:01:30.216000
NOR,4,McLaren,6.0,0 days 00:01:31.107000,0 days 00:01:30.560000,0 days 00:01:30.267000
VER,1,Red Bull Racing,7.0,0 days 00:01:31.303000,0 days 00:01:31.019000,0 days 00:01:30.423000
SAI,55,Williams,8.0,0 days 00:01:31.591000,0 days 00:01:30.844000,0 days 00:01:30.680000
HAM,44,Ferrari,9.0,0 days 00:01:31.219000,0 days 00:01:31.009000,0 days 00:01:30.772000
TSU,22,Red Bull Racing,10.0,0 days 00:01:31.751000,0 days 00:01:31.228000,0 days 00:01:31.303000
DOO,7,Alpine,11.0,0 days 00:01:31.414000,0 days 00:01:31.245000,
HAD,6,Racing Bulls,12.0,0 days 00:01:31.591000,0 days 00:01:31.271000,
ALO,14,Aston Martin,13.0,0 days 00:01:31.634000,0 days 00:01:31.886000,
OCO,31,Haas F1 Team,14.0,0 days 00:01:31.594000,,
ALB,23,Williams,15.0,0 days 00:01:32.040000,,
HUL,27,Kick Sauber,16.0,0 days 00:01:32.067000,,
LAW,30,Racing Bulls,17.0,0 days 00:01:32.165000,,
BOR,5,Kick Sauber,18.0,0 days 00:01:32.186000,,
STR,18,Aston Martin,19.0,0 days 00:01:32.283000,,
BEA,87,Haas F1 Team,20.0,0 days 00:01:32.373000,,
