driver,driver_number,team,position,q1,q2,q3
ANT,12,Mercedes,1.0,0 days 00:01:46.304000,0 days 00:01:45.142000,0 days 00:01:44.361000
VER,3,Red Bull Racing,2.0,0 days 00:01:45.930000,0 days 00:01:45.589000,0 days 00:01:44.678000
NOR,1,McLaren,3.0,0 days 00:01:45.865000,0 days 00:01:45.454000,0 days 00:01:44.801000
RUS,63,Mercedes,4.0,0 days 00:01:46.185000,0 days 00:01:45.689000,0 days 00:01:44.869000
LEC,16,Ferrari,5.0,0 days 00:01:46.278000,0 days 00:01:45.397000,0 days 00:01:44.893000
HAM,44,Ferrari,6.0,0 days 00:01:46.124000,0 days 00:01:45.543000,0 days 00:01:44.895000
PIA,81,McLaren,7.0,0 days 00:01:46.433000,0 days 00:01:45.671000,0 days 00:01:45.016000
LIN,41,Racing Bulls,8.0,0 days 00:01:46.191000,0 days 00:01:45.629000,0 days 00:01:45.143000
BOR,5,Audi,9.0,0 days 00:01:46.609000,0 days 00:01:46.082000,0 days 00:01:45.628000
HAD,6,Red Bull Racing,10.0,0 days 00:01:46.062000,0 days 00:01:45.823000,
LAW,30,Racing Bulls,11.0,0 days 00:01:46.501000,0 days 00:01:46.120000,
GAS,10,Alpine,12.0,0 days 00:01:46.679000,0 days 00:01:46.331000,
COL,43,Alpine,13.0,0 days 00:01:46.795000,0 days 00:01:46.392000,
HUL,27,Audi,14.0,0 days 00:01:46.893000,0 days 00:01:46.671000,
SAI,55,Williams,15.0,0 days 00:01:47.080000,0 days 00:01:46.777000,
BEA,87,Haas F1 Team,16.0,0 days 00:01:47.113000,0 days 00:01:46.779000,
ALB,23,Williams,17.0,0 days 00:01:47.120000,,
OCO,31,Haas F1 Team,18.0,0 days 00:01:47.801000,,
BOT,77,Cadillac,19.0,0 days 00:01:47.823000,,
PER,11,Cadillac,20.0,0 days 00:01:47.971000,,
ALO,14,Aston Martin,21.0,0 days 00:01:50.002000,,
STR,18,Aston Martin,22.0,0 days 00:01:50.177000,,
