driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
PER,Red Bull Racing,3.0,finished,0
HAM,Mercedes,4.0,finished,0
PIA,McLaren,5.0,finished,0
RUS,Mercedes,6.0,finished,0
LEC,Ferrari,7.0,finished,0
SAI,Ferrari,8.0,finished,0
ALO,Aston Martin,9.0,finished,0
STR,Aston Martin,10.0,lapped,0
ALB,Williams,11.0,lapped,0
BOT,Alfa Romeo,12.0,lapped,0
RIC,AlphaTauri,13.0,lapped,0
HUL,Haas F1 Team,14.0,lapped,0
TSU,AlphaTauri,15.0,lapped,0
ZHO,Alfa Romeo,16.0,lapped,0
MAG,Haas F1 Team,17.0,lapped,0
SAR,Williams,,retired,1
OCO,Alpine,,retired,1
GAS,Alpine,,retired,1
