driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PER,Red Bull Racing,2.0,finished,0
ALO,Aston Martin,3.0,finished,0
SAI,Ferrari,4.0,finished,0
HAM,Mercedes,5.0,finished,0
STR,Aston Martin,6.0,finished,0
RUS,Mercedes,7.0,finished,0
BOT,Alfa Romeo,8.0,finished,0
GAS,Alpine,9.0,finished,0
ALB,Williams,10.0,finished,0
TSU,AlphaTauri,11.0,finished,0
SAR,Williams,12.0,lapped,0
MAG,Haas F1 Team,13.0,lapped,0
DEV,AlphaTauri,14.0,lapped,0
HUL,Haas F1 Team,15.0,lapped,0
ZHO,Alfa Romeo,16.0,lapped,0
NOR,McLaren,17.0,lapped,0
OCO,Alpine,,retired,1
LEC,Ferrari,,retired,1
PIA,McLaren,,retired,1
