driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:34.742000,0 days 00:01:33.794000,0 days 00:01:33.660000
PER,11,Red Bull Racing,2.0,0 days 00:01:35.457000,0 days 00:01:34.026000,0 days 00:01:33.982000
ALO,14,Aston Martin,3.0,0 days 00:01:35.116000,0 days 00:01:34.652000,0 days 00:01:34.148000
NOR,4,McLaren,4.0,0 days 00:01:34.842000,0 days 00:01:34.460000,0 days 00:01:34.165000
PIA,81,McLaren,5.0,0 days 00:01:35.014000,0 days 00:01:34.659000,0 days 00:01:34.273000
LEC,16,Ferrari,6.0,0 days 00:01:34.797000,0 days 00:01:34.399000,0 days 00:01:34.289000
SAI,55,Ferrari,7.0,0 days 00:01:34.970000,0 days 00:01:34.368000,0 days 00:01:34.297000
RUS,63,Mercedes,8.0,0 days 00:01:35.084000,0 days 00:01:34.609000,0 days 00:01:34.433000
HUL,27,Haas F1 Team,9.0,0 days 00:01:35.068000,0 days 00:01:34.667000,0 days 00:01:34.604000
BOT,77,Kick Sauber,10.0,0 days 00:01:35.169000,0 days 00:01:34.769000,0 days 00:01:34.665000
STR,18,Aston Martin,11.0,0 days 00:01:35.334000,0 days 00:01:34.838000,
RIC,3,RB,12.0,0 days 00:01:35.443000,0 days 00:01:34.934000,
OCO,31,Alpine,13.0,0 days 00:01:35.356000,0 days 00:01:35.223000,
ALB,23,Williams,14.0,0 days 00:01:35.384000,0 days 00:01:35.241000,
GAS,10,Alpine,15.0,0 days 00:01:35.287000,0 days 00:01:35.463000,
ZHO,24,Kick Sauber,16.0,0 days 00:01:35.505000,,
MAG,20,Haas F1 Team,17.0,0 days 00:01:35.516000,,
HAM,44,Mercedes,18.0,0 days 00:01:35.573000,,
TSU,22,RB,19.0,0 days 00:01:35.746000,,
SAR,2,Williams,20.0,0 days 00:01:36.358000,,
