driver,driver_number,team,position,q1,q2,q3
ANT,12,Mercedes,1.0,0 days 00:01:13.599000,0 days 00:01:12.704000,0 days 00:01:12.051000
VER,3,Red Bull Racing,2.0,0 days 00:01:13.490000,0 days 00:01:12.499000,0 days 00:01:12.094000
HAM,44,Ferrari,3.0,0 days 00:01:13.777000,0 days 00:01:12.934000,0 days 00:01:12.279000
LEC,16,Ferrari,4.0,0 days 00:01:13.293000,0 days 00:01:12.774000,0 days 00:01:12.351000
HAD,6,Red Bull Racing,5.0,0 days 00:01:14.408000,0 days 00:01:12.722000,0 days 00:01:12.434000
RUS,63,Mercedes,6.0,0 days 00:01:14.214000,0 days 00:01:13.238000,0 days 00:01:12.445000
PIA,81,McLaren,7.0,0 days 00:01:14.159000,0 days 00:01:12.983000,0 days 00:01:12.624000
NOR,1,McLaren,8.0,0 days 00:01:13.630000,0 days 00:01:12.919000,0 days 00:01:12.765000
GAS,10,Alpine,9.0,0 days 00:01:14.469000,0 days 00:01:13.762000,0 days 00:01:13.226000
LAW,30,Racing Bulls,10.0,0 days 00:01:14.498000,0 days 00:01:13.471000,0 days 00:01:13.412000
ALB,23,Williams,11.0,0 days 00:01:14.321000,0 days 00:01:13.787000,
SAI,55,Williams,12.0,0 days 00:01:14.348000,0 days 00:01:13.815000,
HUL,27,Audi,13.0,0 days 00:01:13.923000,0 days 00:01:13.902000,
COL,43,Alpine,14.0,0 days 00:01:14.573000,0 days 00:01:13.995000,
LIN,41,Racing Bulls,15.0,0 days 00:01:14.685000,0 days 00:01:14.248000,
BOR,5,Audi,16.0,0 days 00:01:14.683000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:14.722000,,
PER,11,Cadillac,18.0,0 days 00:01:14.747000,,
BEA,87,Haas F1 Team,19.0,0 days 00:01:14.814000,,
BOT,77,Cadillac,20.0,0 days 00:01:15.283000,,
ALO,14,Aston Martin,21.0,0 days 00:01:15.349000,,
STR,18,Aston Martin,22.0,0 days 00:01:16.061000,,
