driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:30.002000,0 days 00:01:30.007000,0 days 00:01:29.525000
VER,1,Red Bull Racing,2.0,0 days 00:01:30.157000,0 days 00:01:29.680000,0 days 00:01:29.728000
HAM,44,Mercedes,3.0,0 days 00:01:30.393000,0 days 00:01:29.929000,0 days 00:01:29.841000
RUS,63,Mercedes,4.0,0 days 00:01:30.811000,0 days 00:01:30.153000,0 days 00:01:29.867000
PIA,81,McLaren,5.0,0 days 00:01:30.258000,0 days 00:01:29.640000,0 days 00:01:29.953000
HUL,27,Haas F1 Team,6.0,0 days 00:01:30.724000,0 days 00:01:30.150000,0 days 00:01:30.115000
ALO,14,Aston Martin,7.0,0 days 00:01:30.684000,0 days 00:01:30.450000,0 days 00:01:30.214000
TSU,22,RB,8.0,0 days 00:01:30.716000,0 days 00:01:30.289000,0 days 00:01:30.354000
LEC,16,Ferrari,9.0,0 days 00:01:30.786000,0 days 00:01:29.747000,
SAI,55,Ferrari,10.0,0 days 00:01:30.670000,0 days 00:01:30.108000,
ALB,23,Williams,11.0,0 days 00:01:30.679000,0 days 00:01:30.474000,
COL,43,Williams,12.0,0 days 00:01:30.704000,0 days 00:01:30.481000,
PER,11,Red Bull Racing,13.0,0 days 00:01:30.624000,0 days 00:01:30.579000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:30.829000,0 days 00:01:30.653000,
OCO,31,Alpine,15.0,0 days 00:01:30.958000,0 days 00:01:30.769000,
RIC,3,RB,16.0,0 days 00:01:31.085000,,
STR,18,Aston Martin,17.0,0 days 00:01:31.094000,,
GAS,10,Alpine,18.0,0 days 00:01:31.312000,,
BOT,77,Kick Sauber,19.0,0 days 00:01:31.572000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:32.054000,,
