driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:11.584000,0 days 00:01:10.825000,0 days 00:01:10.270000
PIA,81,McLaren,2.0,0 days 00:01:11.500000,0 days 00:01:10.756000,0 days 00:01:10.424000
SAI,55,Ferrari,3.0,0 days 00:01:11.543000,0 days 00:01:11.075000,0 days 00:01:10.518000
NOR,4,McLaren,4.0,0 days 00:01:11.760000,0 days 00:01:10.732000,0 days 00:01:10.542000
RUS,63,Mercedes,5.0,0 days 00:01:11.492000,0 days 00:01:10.929000,0 days 00:01:10.543000
VER,1,Red Bull Racing,6.0,0 days 00:01:11.711000,0 days 00:01:10.745000,0 days 00:01:10.567000
HAM,44,Mercedes,7.0,0 days 00:01:11.528000,0 days 00:01:11.056000,0 days 00:01:10.621000
TSU,22,RB,8.0,0 days 00:01:11.852000,0 days 00:01:11.106000,0 days 00:01:10.858000
ALB,23,Williams,9.0,0 days 00:01:11.623000,0 days 00:01:11.216000,0 days 00:01:10.948000
GAS,10,Alpine,10.0,0 days 00:01:11.714000,0 days 00:01:10.896000,0 days 00:01:11.311000
OCO,31,Alpine,11.0,0 days 00:01:11.887000,0 days 00:01:11.285000,
RIC,3,RB,12.0,0 days 00:01:11.785000,0 days 00:01:11.482000,
STR,18,Aston Martin,13.0,0 days 00:01:11.728000,0 days 00:01:11.563000,
HUL,27,Haas F1 Team,14.0,0 days 00:01:11.876000,0 days 00:01:11.440000,
ALO,14,Aston Martin,14.0,0 days 00:01:12.019000,,
SAR,2,Williams,15.0,0 days 00:01:12.020000,,
MAG,20,Haas F1 Team,15.0,0 days 00:01:11.832000,0 days 00:01:11.725000,
PER,11,Red Bull Racing,16.0,0 days 00:01:12.060000,,
BOT,77,Kick Sauber,17.0,0 days 00:01:12.512000,,
ZHO,24,Kick Sauber,18.0,0 days 00:01:13.028000,,
