driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,quali_x_pace_contrib,qualifying_position_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,temperature_contrib,points_per_race_contrib,form_x_quali_contrib,reliability_contrib,humidity_vs_baseline_contrib,pace_consistency_contrib,fp_consistency_contrib,rain_probability_contrib,wind_speed_contrib,temperature_vs_baseline_contrib,teammate_gap_contrib,rain_x_quali_contrib,wind_speed_vs_baseline_contrib,fp_long_run_pace_contrib,humidity_contrib,track_type_contrib,rain_probability_vs_baseline_contrib,constructor_position_contrib,overtaking_difficulty_contrib,quali_stage_contrib,wet_track_flag_contrib,top_features
VER,0.0449270480340392,13,2026,Japanese Grand Prix,11.0,0.2035342843105393,2,1.111009222385244,0.1339510113533164,0.7272727272727273,8,2.0,0,0.5,0.05,0,0.025,0.4,0.5555046111926221,0.148820808961365,0.3636363636363636,-0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1628,1.7396,0.0088,0.0266,0.7121,0.0637,0.0101,0.0108,0.2939,0.0038,0.0034,0.0012,0.3857,0.1048,-0.0029,0.0005,-0.0042,0.0234,1.598,0.0,-0.0061,0.1469,0.0083,0.0304,0.0,"qualifying_position_contrib (1.74), humidity_contrib (1.60), temperature_contrib (0.71)"
COL,0.0449130436408399,14,2026,Japanese Grand Prix,15.0,-0.1073025934022048,2,1.1562357125959593,0.1773744962046915,0.3636363636363636,5,4.5,0,0.5,0.05,0,0.034090909090909,1.0,0.7883425313154268,0.2050867270155807,0.2479338842975206,-0.3985524897796307,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.231,2.3722,-0.0046,0.0133,0.7121,0.1433,0.0069,0.0269,0.2939,0.0052,0.0045,0.0012,0.3857,0.1048,-0.0097,0.0007,-0.0042,0.0244,1.598,0.0,-0.0061,0.0918,0.0083,0.0304,0.0,"qualifying_position_contrib (2.37), humidity_contrib (1.60), temperature_contrib (0.71)"
BOR,0.0448018804736286,15,2026,Japanese Grand Prix,9.0,0.1933149897008047,3,1.34339227864253,0.2610602146045808,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0204545454545454,0.4,0.5495695685355805,0.3507062765605556,0.2417355371900826,0.048115845454165,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1611,1.4233,0.0083,0.0216,0.7121,0.0318,0.0067,0.0108,0.2939,0.0089,0.0066,0.0012,0.3857,0.1048,0.0012,0.0004,-0.0042,0.0283,1.598,0.0,-0.0061,0.1836,0.0083,0.0456,0.0,"humidity_contrib (1.60), qualifying_position_contrib (1.42), temperature_contrib (0.71)"
PER,0.0446974514145559,16,2026,Japanese Grand Prix,19.0,-1.451991442466403,1,1.142869750355768,0.1473150464362101,0.2727272727272727,15,0.0,0,0.5,0.05,0,0.0431818181818181,1.0,0.987023875307254,0.1683619103441998,0.2355371900826446,0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2893,3.0047,-0.0626,0.01,0.7121,0.0,0.0065,0.0269,0.2939,0.0043,0.0037,0.0012,0.3857,0.1048,0.0013,0.0009,-0.0042,0.0241,1.598,0.0,-0.0061,0.2754,0.0083,0.0152,0.0,"qualifying_position_contrib (3.00), humidity_contrib (1.60), temperature_contrib (0.71)"
BOT,0.044688272776852,17,2026,Japanese Grand Prix,20.0,-1.557590820100319,1,1.1756636790489168,0.1841355120599734,0.5909090909090909,15,0.0,0,0.5,0.05,0,0.0454545454545454,0.6,1.0687851627717424,0.2164814335519845,0.5371900826446281,-0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.3132,3.1629,-0.0672,0.0216,0.7121,0.0,0.0149,0.0161,0.2939,0.0055,0.0046,0.0012,0.3857,0.1048,-0.0013,0.001,-0.0042,0.0248,1.598,0.0,-0.0061,0.2754,0.0083,0.0152,0.0,"qualifying_position_contrib (3.16), humidity_contrib (1.60), temperature_contrib (0.71)"
HAD,0.0446391695918892,18,2026,Japanese Grand Prix,8.0,0.4453909234075872,3,1.1532463127006365,0.1799443877709202,0.5909090909090909,8,2.0,0,0.5,0.05,0,0.0181818181818181,0.6,0.4193622955275042,0.2075202016879873,0.2148760330578512,0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1229,1.2651,0.0192,0.0216,0.7121,0.0637,0.006,0.0161,0.2939,0.0053,0.0045,0.0012,0.3857,0.1048,0.0029,0.0004,-0.0042,0.0243,1.598,0.0,-0.0061,0.1469,0.0083,0.0456,0.0,"humidity_contrib (1.60), qualifying_position_contrib (1.27), temperature_contrib (0.71)"
HUL,0.0446177697740333,19,2026,Japanese Grand Prix,13.0,0.0970832987924747,2,1.145408235183081,0.1657162378604429,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0295454545454545,0.6,0.6768321389718206,0.1898127435489096,0.3491735537190083,-0.0481158454541649,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.1984,2.0559,0.0042,0.0216,0.7121,0.0318,0.0097,0.0161,0.2939,0.0048,0.0042,0.0012,0.3857,0.1048,-0.0012,0.0006,-0.0042,0.0241,1.598,0.0,-0.0061,0.1836,0.0083,0.0304,0.0,"qualifying_position_contrib (2.06), humidity_contrib (1.60), temperature_contrib (0.71)"
STR,0.0446154209983378,20,2026,Japanese Grand Prix,22.0,-2.0600394717455868,1,1.235908099740023,0.2104468755736609,0.2272727272727272,14,0.0,0,0.5,0.05,0,0.05,0.4,1.235908099740023,0.2600929980864683,0.2272727272727272,-0.1166702801277992,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.3622,3.4792,-0.0889,0.0083,0.7121,0.0,0.0063,0.0108,0.2939,0.0066,0.0053,0.0012,0.3857,0.1048,-0.0028,0.0011,-0.0042,0.026,1.598,0.0,-0.0061,0.257,0.0083,0.0152,0.0,"qualifying_position_contrib (3.48), humidity_contrib (1.60), temperature_contrib (0.71)"
SAI,0.0445771212041204,21,2026,Japanese Grand Prix,16.0,-0.4530553943648836,2,1.0934644016531296,0.0317621874418994,0.3181818181818182,11,1.0,0,0.5,0.05,0,0.0363636363636363,1.0,0.7952468375659125,0.0347308212863511,0.2314049586776859,0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2331,2.5303,-0.0195,0.0116,0.7121,0.0318,0.0064,0.0269,0.2939,0.0009,0.0008,0.0012,0.3857,0.1048,0.0006,0.0008,-0.0042,0.023,1.598,0.0,-0.0061,0.202,0.0083,0.0304,0.0,"qualifying_position_contrib (2.53), humidity_contrib (1.60), temperature_contrib (0.71)"
ALB,0.0445464141114238,22,2026,Japanese Grand Prix,17.0,-0.4998938279928257,1,1.1359940233452352,0.1483449244234948,0.4545454545454545,11,1.0,0,0.5,0.05,0,0.0386363636363636,0.4,0.8778135634940454,0.1685189475386908,0.3512396694214876,-0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,0.2573,2.6884,-0.0216,0.0166,0.7121,0.0318,0.0097,0.0108,0.2939,0.0043,0.0037,0.0012,0.3857,0.1048,-0.0006,0.0008,-0.0042,0.0239,1.598,0.0,-0.0061,0.202,0.0083,0.0152,0.0,"qualifying_position_contrib (2.69), humidity_contrib (1.60), temperature_contrib (0.71)"
