driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
ALB,Williams,10.0,finished,0.0,Bahrain Grand Prix,0,,
ALB,Williams,,retired,1.0,Saudi Arabian Grand Prix,1,0.0,1.0
ALB,Williams,,retired,1.0,Australian Grand Prix,2,0.6,0.4
ALB,Williams,12.0,finished,0.0,Azerbaijan Grand Prix,3,0.7894736842105262,0.21052631578947378
ALB,Williams,14.0,finished,0.0,Miami Grand Prix,4,0.46153846153846156,0.5384615384615384
ALB,Williams,14.0,lapped,0.0,Monaco Grand Prix,5,0.28436018957345977,0.7156398104265402
ALB,Williams,16.0,lapped,0.0,Spanish Grand Prix,6,0.18045112781954895,0.819548872180451
ALB,Williams,7.0,finished,0.0,Canadian Grand Prix,7,0.11656143759106369,0.8834385624089363
ALB,Williams,11.0,finished,0.0,Austrian Grand Prix,8,0.07613005551149886,0.9238699444885011
ALB,Williams,8.0,finished,0.0,British Grand Prix,9,0.05007563507380944,0.9499243649261906
ALB,Williams,11.0,lapped,0.0,Hungarian Grand Prix,10,0.0330891856958208,0.9669108143041792
ALB,Williams,14.0,finished,0.0,Belgian Grand Prix,11,0.021930450773562406,0.9780695492264376
ALB,Williams,8.0,finished,0.0,Dutch Grand Prix,12,0.014563521034616823,0.9854364789653832
ALB,Williams,7.0,finished,0.0,Italian Grand Prix,13,0.009683941616423875,0.9903160583835762
ALB,Williams,11.0,finished,0.0,Singapore Grand Prix,14,0.00644486566378236,0.9935551343362177
ALB,Williams,,retired,1.0,Japanese Grand Prix,15,0.004291659923111957,0.995708340076888
ALB,Williams,13.0,finished,0.0,Qatar Grand Prix,16,0.33670051209616486,0.6632994879038352
ALB,Williams,9.0,finished,0.0,United States Grand Prix,17,0.22435297989968786,0.7756470201003122
ALB,Williams,9.0,finished,0.0,Mexico City Grand Prix,18,0.14951801697571573,0.8504819830242842
ALB,Williams,,retired,1.0,Brazilian Grand Prix,19,0.09965618566124931,0.9003438143387507
ALB,Williams,12.0,finished,0.0,Las Vegas Grand Prix,20,0.3998610706535685,0.6001389293464314
ALB,,,,0.0,Abu Dhabi Grand Prix,21,0.26654731959191735,0.7334526804080826
