driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
ALB,Williams,15.0,lapped,0.0,Bahrain Grand Prix,0,,
ALB,Williams,11.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
ALB,Williams,11.0,lapped,0.0,Australian Grand Prix,2,0.0,1.0
ALB,Williams,,retired,1.0,Japanese Grand Prix,3,0.0,1.0
ALB,Williams,12.0,finished,0.0,Chinese Grand Prix,4,0.4153846153846153,0.5846153846153848
ALB,Williams,18.0,finished,0.0,Miami Grand Prix,5,0.2559241706161137,0.7440758293838863
ALB,Williams,,retired,1.0,Emilia Romagna Grand Prix,6,0.162406015037594,0.837593984962406
ALB,Williams,9.0,lapped,0.0,Monaco Grand Prix,7,0.458960660514813,0.541039339485187
ALB,Williams,,retired,1.0,Canadian Grand Prix,8,0.29976209357652656,0.7002379064234734
ALB,Williams,18.0,lapped,0.0,Spanish Grand Prix,9,0.5394084815606905,0.46059151843930946
ALB,Williams,15.0,lapped,0.0,Austrian Grand Prix,10,0.35643257216716934,0.6435674278328307
ALB,Williams,9.0,finished,0.0,British Grand Prix,11,0.23623207442646735,0.7637679255735327
ALB,Williams,14.0,lapped,0.0,Hungarian Grand Prix,12,0.15687642814476296,0.843123571855237
ALB,Williams,12.0,finished,0.0,Belgian Grand Prix,13,0.10431420859941584,0.8956857914005841
ALB,Williams,14.0,lapped,0.0,Dutch Grand Prix,14,0.06942328732205555,0.9305767126779445
ALB,Williams,9.0,finished,0.0,Italian Grand Prix,15,0.04622922423427157,0.9537707757657284
ALB,Williams,7.0,finished,0.0,Azerbaijan Grand Prix,16,0.030795986662536197,0.9692040133374638
ALB,Williams,,retired,1.0,Singapore Grand Prix,17,0.020520228299259948,0.9794797717007401
ALB,Williams,16.0,lapped,0.0,United States Grand Prix,18,0.34723455334535014,0.6527654466546499
ALB,Williams,,retired,1.0,Mexico City Grand Prix,19,0.23143746697634093,0.7685625330236591
ALB,Williams,,did not start,1.0,Brazilian Grand Prix,20,0.4877020440870615,0.5122979559129385
ALB,Williams,,retired,1.0,Las Vegas Grand Prix,21,0.6585022724072144,0.3414977275927856
ALB,Williams,15.0,lapped,0.0,Qatar Grand Prix,22,0.772350064846607,0.22764993515339305
ALB,,,,0.0,Abu Dhabi Grand Prix,23,0.5148771011572015,0.48512289884279847
ALO,Aston Martin,9.0,finished,0.0,Bahrain Grand Prix,0,,
ALO,Aston Martin,5.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
ALO,Aston Martin,8.0,finished,0.0,Australian Grand Prix,2,0.0,1.0
ALO,Aston Martin,6.0,finished,0.0,Japanese Grand Prix,3,0.0,1.0
ALO,Aston Martin,7.0,finished,0.0,Chinese Grand Prix,4,0.0,1.0
ALO,Aston Martin,9.0,finished,0.0,Miami Grand Prix,5,0.0,1.0
ALO,Aston Martin,19.0,lapped,0.0,Emilia Romagna Grand Prix,6,0.0,1.0
