driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
ANT,Mercedes,5.0,finished,0.0,Singapore Grand Prix,17,0.09854933401553856,0.9014506659844614
ANT,Mercedes,13.0,finished,0.0,United States Grand Prix,18,0.06567731350334195,0.9343226864966581
ANT,Mercedes,6.0,finished,0.0,Mexico City Grand Prix,19,0.04377499568686873,0.9562250043131313
ANT,Mercedes,2.0,finished,0.0,Brazilian Grand Prix,20,0.029178941005949616,0.9708210589940504
ANT,Mercedes,3.0,finished,0.0,Las Vegas Grand Prix,21,0.019450676958760214,0.9805493230412398
ANT,Mercedes,5.0,finished,0.0,Qatar Grand Prix,22,0.012966251282443097,0.9870337487175569
ANT,,,,0.0,Abu Dhabi Grand Prix,23,0.008643782368952146,0.9913562176310479
BEA,Haas F1 Team,10.0,finished,0.0,Bahrain Grand Prix,0,,
BEA,Haas F1 Team,13.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
BEA,Haas F1 Team,14.0,finished,0.0,Australian Grand Prix,2,0.0,1.0
BEA,Haas F1 Team,10.0,finished,0.0,Japanese Grand Prix,3,0.0,1.0
BEA,Haas F1 Team,8.0,finished,0.0,Chinese Grand Prix,4,0.0,1.0
BEA,Haas F1 Team,19.0,,0.0,Miami Grand Prix,5,0.0,1.0
BEA,Haas F1 Team,17.0,finished,0.0,Emilia Romagna Grand Prix,6,0.0,1.0
BEA,Haas F1 Team,12.0,lapped,0.0,Monaco Grand Prix,7,0.0,1.0
BEA,Haas F1 Team,11.0,lapped,0.0,Canadian Grand Prix,8,0.0,1.0
BEA,Haas F1 Team,17.0,finished,0.0,Spanish Grand Prix,9,0.0,1.0
BEA,Haas F1 Team,11.0,lapped,0.0,Austrian Grand Prix,10,0.0,1.0
BEA,Haas F1 Team,11.0,finished,0.0,British Grand Prix,11,0.0,1.0
BEA,Haas F1 Team,,retired,1.0,Hungarian Grand Prix,12,0.0,1.0
BEA,Haas F1 Team,11.0,finished,0.0,Belgian Grand Prix,13,0.3350549229540309,0.6649450770459691
BEA,Haas F1 Team,6.0,finished,0.0,Dutch Grand Prix,14,0.22298605815274458,0.7770139418472555
BEA,Haas F1 Team,12.0,finished,0.0,Italian Grand Prix,15,0.14848724226552987,0.8515127577344701
BEA,Haas F1 Team,12.0,finished,0.0,Azerbaijan Grand Prix,16,0.09891602569822125,0.9010839743017788
BEA,Haas F1 Team,9.0,finished,0.0,Singapore Grand Prix,17,0.0659105178874565,0.9340894821125435
BEA,Haas F1 Team,9.0,finished,0.0,United States Grand Prix,18,0.04392546930636355,0.9560745306936365
BEA,Haas F1 Team,4.0,finished,0.0,Mexico City Grand Prix,19,0.02927703839974981,0.9707229616002502
BEA,Haas F1 Team,6.0,finished,0.0,Brazilian Grand Prix,20,0.01951508990214428,0.9804849100978558
